Front,Back,pg and ch,Tags
"24.1 What Are Corporations, and Why Do We Tax Them?
* What are corporations? What is their role in the economy? [a][b]
","
[a]not all goods and services are produced by the corporate sector in the United States.There is also a large and robust noncorporate sector consisting of self-employed individuals, partnerships, and other organizational forms that do not seek the protections of incorporation.The noncorporate sector accounts for about one-quarter of sales in the United States.


[b]Within the corporate sector, most of the production is by firms owned by a large number of shareholders, individuals who have purchased ownership stakes in a company.The major advantage of incorporation is that it offers the guarantee of limited liability, which means that the owners of a firm cannot be held personally responsible for the obligations of the firm. If a corporation fails, the shareholders are not required by law to use their personal assets (such as their homes and jewelry) to pay the debts of the failed company.The most that shareholders can lose is the amount they have invested in the corporation.

",,Ch24
"24.1 What Are Corporations, and Why Do We Tax Them?
* What are corporations? What is their role in the economy? [a][b]
   * Shareholders [c]
","
[c]individuals who have purchased ownership stakes in a company.

",,Ch24
"24.1 What Are Corporations, and Why Do We Tax Them?
* What are corporations? What is their role in the economy? [a][b]
   * S vs. C corporations [d]
","
[d]Income from an S-corporation is treated as personal income as it is earned and is subject to the individual income tax;income from C-corporations is subject to the corporate income tax as it is earned and may be subject to the individual income tax again as it is distributed to a corporation’s shareholders. Our discussion of corporate taxation will focus on C-corporations, which account for most of the production of the corporate sector.

",,Ch24
"24.1 What Are Corporations, and Why Do We Tax Them?
* What are corporations? What is their role in the economy? [a][b]
   * What is the difference between ownership vs. Control [e]and the agency problem (IMP for what a corporation does!!)
","
[e]Generally, in a corporation
ownership - shareholders
control - managers, make day to day decisions on how to run the corporation

",,Ch24
"24.1 What Are Corporations, and Why Do We Tax Them?
* What are corporations? What is their role in the economy? [a][b]
   * What is the difference between ownership vs. Control [e]and the agency problem (IMP for what a corporation does!!)
      * Board of directors [f]
","
[f]A set of individuals who meet periodi-
cally to review decisions made by a firm’s management and report back to the broader set of owners on management’s performance.

",,Ch24
"24.1 What Are Corporations, and Why Do We Tax Them?
* What are corporations? What is their role in the economy? [a][b]
   * What is the difference between ownership vs. Control [e]and the agency problem (IMP for what a corporation does!!)
      * Stock options [g]and backdating
","
[g]executives can buy stocks in their own company to encourage their company to do well

",,Ch24
"24.1 What Are Corporations, and Why Do We Tax Them?
* How do firms grow? [h]
","
[h]making investments and getting rewards from them

",,Ch24
"24.1 What Are Corporations, and Why Do We Tax Them?
* How do firms grow? [h]
   * What are the 3 ways corporations finance for its investments? [i]
","
[i]1) debt financing
- selling corporate bonds
- pay interest on them to the lenders / bondholders


2) equity financing
- selling share of ownership
- How are investors rewarded


3) retained earnings

",,Ch24
"24.1 What Are Corporations, and Why Do We Tax Them?
* Why should we tax corporate income? [j][k]
","
[j]1) pure profits taxation is efficient because corporations are trying to maximize profits and therefore less distortionary than taxing the inputs (labor, capital)


2) retained earnings can prevent shareholders from earning $$


[k]RE: retained earnings


I'm going to show the policy problem by way of an example. Suppose you and I ran an insurance company that generates $1 billion in income every year from the insurance business. If corporate income weren't taxed, we could take the $1 billion in earnings and just invest it in the stock market and other assets — but not return it to our investors. As our company that slowly accumulates billion upon billion in assets, the company becomes increasingly valuable. As long as our investors invest for the long-term, their effective tax rate on capital income can be very low (even zero, if they hold our company until death). So the government would collect almost zero tax revenue on this income.


An efficiency problem with this (clearly, the above is inequitable) is that we want capital to be invested new profit-generating activities, instead of being stored in corporations that don't need it but hold onto it because it is tax-favored to hold onto it. By taxing earnings even when not returned to investors, we create an incentive against using corporations as, essentially, a gigantic tax-favored savings account.


https://piazza.com/class/keix8p6gyngi2?cid=182

",,Ch24
"24.1 What Are Corporations, and Why Do We Tax Them?
* Why should we tax corporate income? [j][k]
   * Is it efficient? [l]Is it equitable? [m]
","
[l]yes if it is economic, rather than accounting profits


[m]relatively progressive because those receiving the profits from production are likely to be well-off


Gruber estimates that it is 50-50


See 24.3 for more details

",,Ch24
"24.1 What Are Corporations, and Why Do We Tax Them?
* What are some of the problems with just taxing profits?
",,,Ch24
"24.2 The Structure of the Corporate Tax
* What is the structure of the corporate tax? [n]
","
[n]taxes = ([revenues - expenses] * t) - tax credits

",,Ch24
